year,dist_name,dist_code,enrollment,size,attendance_rate,reduced_share,free_share,lunch_share,homeless_share,graduation_rate,act_composite,act_writing,local_revenue,all_revenue,tcec,tec,tdc,rev_cost_ratio
2023,Grafton,2217,2132,Medium,0.95439,0.03429,0.16998,0.20427,0.00422,0.9901,22.21,6.82,NA,NA,NA,NA,NA,NA
2023,Granton Area,2226,245,Small,0.9495,0,0.8107,0.8107,0.07347,0.89286,16.45,4.82,NA,NA,NA,NA,NA,NA
2023,Grantsburg,2233,1719,Medium,0.96666,0.07152,0.41677,0.48829,0.00989,0.88203,17.28,5.65,NA,NA,NA,NA,NA,NA
2023,Black Hawk,2240,353,Small,0.93906,0.05769,0.39011,0.4478,0.017,0.94,17.19,5.38,NA,NA,NA,NA,NA,NA
2023,Green Bay Area Public,2289,18579,Large,0.89534,0.04994,0.69446,0.7444,0.06055,0.88713,17.14,5.82,NA,NA,NA,NA,NA,NA
2023,Greendale,2296,2609,Medium,0.95277,0.04729,0.24064,0.28793,3.8e-4,0.94342,19.52,6.32,NA,NA,NA,NA,NA,NA
2023,Greenfield,2303,3410,Medium,0.932,0.09088,0.43389,0.52477,0.0085,0.94215,18.74,6.64,NA,NA,NA,NA,NA,NA
2023,Green Lake,2310,286,Small,0.94266,0.05882,0.31488,0.3737,NA,0.99057,20.17,6.78,NA,NA,NA,NA,NA,NA
2023,Greenwood,2394,354,Small,0.93584,0,0.6756,0.6756,NA,0.94167,16.35,4.88,NA,NA,NA,NA,NA,NA
2023,Gresham,2415,302,Small,0.92086,0.06873,0.56701,0.63574,0.00662,0.93651,16.27,6.2,NA,NA,NA,NA,NA,NA
2023,Hamilton,2420,5119,Medium,0.94908,0.02353,0.12459,0.14812,0.00215,0.98214,22.58,7.21,NA,NA,NA,NA,NA,NA
2023,Saint Croix Central,2422,1821,Medium,0.94757,0.05718,0.17216,0.22933,0.00494,0.91049,19.12,6.81,NA,NA,NA,NA,NA,NA
2023,Hartford UHS,2436,1364,Medium,0.92516,0.04769,0.20836,0.25605,0.01979,0.96846,20.03,7.03,NA,NA,NA,NA,NA,NA
2023,Hartford J1,2443,1429,Medium,0.92667,0.06203,0.33661,0.39864,0.01749,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Arrowhead UHS,2450,2038,Medium,0.95907,0.02179,0.072,0.09379,0.00442,0.99187,21.99,6.93,NA,NA,NA,NA,NA,NA
2023,Hartland-Lakeside J3,2460,1108,Medium,0.9438,0.03295,0.12556,0.1585,9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Hayward Community,2478,1891,Medium,0.93217,0.05595,0.49107,0.54702,0.01163,0.9024,19.76,6.28,NA,NA,NA,NA,NA,NA
2023,Southwestern Wisconsin,2485,517,Small,0.94589,0.10811,0.22466,0.33277,0.00967,0.95732,19.24,6.14,NA,NA,NA,NA,NA,NA
2023,Herman-Neosho-Rubicon,2525,304,Small,0.95425,0.02857,0.2,0.22857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Highland,2527,268,Small,0.95027,0.08209,0.33209,0.41418,NA,0.93333,19.04,6.36,NA,NA,NA,NA,NA,NA
2023,Hilbert,2534,464,Small,0.96109,0.07328,0.30819,0.38147,NA,0.97315,19.76,5.73,NA,NA,NA,NA,NA,NA
2023,Hillsboro,2541,477,Small,0.95985,0.08434,0.39157,0.4759,0.01048,0.88024,18.98,6.15,NA,NA,NA,NA,NA,NA
2023,Holmen,2562,3860,Medium,0.96145,0.05565,0.22611,0.28176,0.01088,0.96983,19.49,6.42,NA,NA,NA,NA,NA,NA
2023,Holy Hill Area,2570,476,Small,0.95207,0.03185,0.15287,0.18471,0.01891,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Horicon,2576,787,Small,0.94371,0.01859,0.5031,0.52169,0.01398,0.92771,19.62,7.19,NA,NA,NA,NA,NA,NA
2023,Hortonville Area,2583,4281,Medium,0.95862,0.029760000000000002,0.12767,0.15743,0.00724,0.98003,20.56,6.79,NA,NA,NA,NA,NA,NA
2023,Howard-Suamico,2604,5665,Medium,0.95091,0.04316,0.18819,0.23135,0.01765,0.95903,20.99,6.81,NA,NA,NA,NA,NA,NA
2023,Howards Grove,2605,877,Small,0.94492,0.04229,0.10971,0.152,0.00114,0.98905,21.39,6.98,NA,NA,NA,NA,NA,NA
2023,Hudson,2611,5251,Medium,0.93539,0.03503,0.15296,0.18798,0.00933,0.98286,21.15,6.81,NA,NA,NA,NA,NA,NA
2023,Hurley,2618,560,Small,0.92213,0.09695,0.37702,0.47397,NA,0.98387,18.74,5.97,NA,NA,NA,NA,NA,NA
2023,Hustisford,2625,282,Small,0.95426,0.02465,0.23239,0.25704,NA,0.96,17.64,6.68,NA,NA,NA,NA,NA,NA
2023,Independence,2632,422,Small,0.93358,0.1028,0.59579,0.6986,NA,0.93846,16.56,6.63,NA,NA,NA,NA,NA,NA
2023,Iola-Scandinavia,2639,584,Small,0.95411,0.06621,0.30221,0.36842,NA,0.96859,20.45,6.4,NA,NA,NA,NA,NA,NA
2023,Iowa-Grant,2646,667,Small,0.94198,0.07761,0.41194,0.48955,0.009,0.94915,19.02,5.92,NA,NA,NA,NA,NA,NA
2023,Ithaca,2660,352,Small,0.92382,0.06877,0.42693,0.4957,0.0142,0.91729,19.27,6.13,NA,NA,NA,NA,NA,NA
2023,Janesville,2695,9414,Large,0.91456,0.03227,0.64007,0.67234,0.06034,0.93767,17.61,5.61,NA,NA,NA,NA,NA,NA
2023,Jefferson,2702,1666,Medium,0.93311,0.06384,0.34666,0.4105,0.03842,0.94859,18.69,6.24,NA,NA,NA,NA,NA,NA
2023,Johnson Creek,2730,620,Small,0.94646,0.06316,0.25088,0.31404,0.00484,0.96023,18.05,5.33,NA,NA,NA,NA,NA,NA
2023,Juda,2737,280,Small,0.94568,0.07857,0.46786,0.54643,NA,0.93976,18.55,6,NA,NA,NA,NA,NA,NA
2023,Dodgeland,2744,713,Small,0.92987,0.0839,0.4912,0.5751,0.09677,0.93966,18.43,5.74,NA,NA,NA,NA,NA,NA
2023,Kaukauna Area,2758,4046,Medium,0.94003,0.05583,0.22233,0.27816,0.01532,0.96763,20.17,6.74,NA,NA,NA,NA,NA,NA
2023,Kenosha,2793,18719,Large,0.90839,0,0.73471,0.73471,0.04065,0.90817,17.69,6.05,NA,NA,NA,NA,NA,NA
2023,Kewaskum,2800,1822,Medium,0.96139,0.05124,0.21819,0.26943,0.00659,0.97163,20.26,6.22,NA,NA,NA,NA,NA,NA
2023,Kewaunee,2814,882,Small,0.94461,0.10738,0.38031,0.4877,0.02268,0.95963,17.2,6.12,NA,NA,NA,NA,NA,NA
2023,Kiel Area,2828,1259,Medium,0.95663,0.05785,0.21488,0.27273,0.00318,0.98039,20.18,6.73,NA,NA,NA,NA,NA,NA
2023,Kimberly Area,2835,5058,Medium,0.94922,0.0465,0.15221,0.19871,0.00712,0.9873,21.46,7.03,NA,NA,NA,NA,NA,NA
2023,Kohler,2842,741,Small,0.95584,NA,NA,NA,0.00135,1,22.66,7.31,NA,NA,NA,NA,NA,NA
2023,La Crosse,2849,5794,Medium,0.91337,0.06353,0.50684,0.57038,0.03676,0.92091,19.8,6.35,NA,NA,NA,NA,NA,NA
2023,Ladysmith,2856,749,Small,0.93413,0,0.80211,0.80211,0.00534,0.925,18.13,6.3,NA,NA,NA,NA,NA,NA
